,Country/Region,Growth Rate,Latitude,Longitude,Start day,End day
0,Mainland China,0.19253976414051777,33.45336878980891,111.51273375796183,2020-01-22,2020-02-05
1,Hong Kong,0.11158800774499482,22.300000000000004,114.20000000000002,2020-03-02,2020-03-09
2,US,0.248851993063108,38.374732204344376,-90.26239075140795,2020-03-02,2020-03-16
3,Japan,0.045556014171384523,36.093090909090904,138.11495454545454,2020-02-21,2020-03-06
4,Thailand,0.3694999849516071,15.514090909090912,100.99556818181821,2020-03-15,2020-03-22
5,South Korea,0.13417084916427208,36.0,128.0,2020-02-20,2020-03-05
6,Singapore,0.11290455984108291,1.3145727272727274,103.82716363636364,2020-02-29,2020-03-14
7,France,0.228531925913284,12.401229999999996,-21.262191111111104,2020-02-29,2020-03-14
8,Others,0.228531925913284,35.44369999999999,139.63799999999998,2020-02-10,2020-02-24
9,Malaysia,0.10805252177607151,3.277499999999999,107.71627272727272,2020-03-09,2020-03-22
10,Italy,0.1913202083036326,42.48722727272727,12.25790909090909,2020-02-23,2020-03-08
11,Iran,0.12668994496852196,32.20376190476191,53.32761904761905,2020-02-26,2020-03-12
12,Germany,0.29991080755971783,51.07531818181819,9.65977272727273,2020-03-01,2020-03-15
13,Canada,0.1948732766899728,49.64642721518992,-92.19695443037979,2020-03-11,2020-03-22
14,Australia,0.2187546912193049,-23.884840109890124,140.6722543956045,2020-03-10,2020-03-22
15,India,0.32716492144643866,20.815318181818185,78.43768181818182,2020-03-14,2020-03-22
16,Philippines,0.27150324064583253,12.928913636363639,121.86645454545452,2020-03-14,2020-03-22
17,Spain,0.30599121999026746,40.21077272727273,-3.886,2020-03-02,2020-03-16
18,Belgium,0.18511460596074839,50.68357272727273,4.213590909090908,2020-03-06,2020-03-20
19,Egypt,0.18511460596074839,26.373000000000005,30.364772727272733,2020-03-14,2020-03-22
20,Finland,0.15367091084944512,63.05640909090908,25.885545454545454,2020-03-13,2020-03-22
21,Israel,0.20760295975796225,31.02095454545455,34.93254545454545,2020-03-11,2020-03-22
22,Lebanon,0.3581279484943039,33.85469999999999,35.8623,2020-03-15,2020-03-22
23,Sweden,0.020078344128048934,61.694636363636384,17.20159090909091,2020-03-06,2020-03-20
24,Bahrain,0.03954595411324955,26.04531818181818,50.553499999999985,2020-03-10,2020-03-22
25,Kuwait,0.08154703513030134,29.414409090909086,47.62809090909091,2020-03-14,2020-03-22
26,Austria,0.1666829514314849,47.51620000000002,14.550099999999992,2020-03-08,2020-03-22
27,Iraq,0.046034706753429626,33.10145454545455,43.85422727272728,2020-03-13,2020-03-22
28,Switzerland,0.17389727060560312,46.81820000000002,8.227499999999994,2020-03-05,2020-03-19
29,China,0.18566804110867166,32.74618787878783,111.67838232323248,2020-03-11,2020-03-22
30,"Korea, South",0.18566804110867166,35.923166666666674,127.80575000000003,2020-03-11,2020-03-22
31,Cruise Ship,0.09727948159008024,35.44878333333333,139.66041666666666,2020-03-11,2020-03-22
32,Norway,0.02392209057404013,60.47199999999999,8.468899999999998,2020-03-06,2020-03-20
33,Netherlands,0.180207278063422,36.45492972972972,-24.477359459459468,2020-03-06,2020-03-20
34,United Kingdom,0.20214237623668727,40.02799061818181,-23.38569910909091,2020-03-11,2020-03-22
35,Denmark,0.20214237623668727,59.66696315789471,-1.1662947368421053,2020-03-10,2020-03-22
36,Qatar,0.20214237623668727,25.354800000000008,51.1839,2020-03-11,2020-03-22
37,Greece,0.022942833108159973,39.07420000000001,21.824299999999997,2020-03-13,2020-03-22
38,Czechia,0.1522906887228727,49.8175,15.473000000000004,2020-03-13,2020-03-22
39,Iceland,0.22054830776313325,64.96309999999995,-19.020800000000005,2020-03-12,2020-03-22
40,San Marino,0.1836789470634508,43.94240000000001,12.457799999999999,2020-03-15,2020-03-22
41,Portugal,0.23781957441769633,39.3999,-8.224500000000003,2020-03-13,2020-03-22
42,Slovenia,0.027002749625434398,46.15120000000001,14.995499999999996,2020-03-13,2020-03-22
43,Romania,0.12562471758153573,45.96901818181819,24.981890909090907,2020-03-14,2020-03-22
44,Ireland,0.16100169650395887,53.15486818181816,-7.706095454545456,2020-03-14,2020-03-22
45,Brazil,0.38342381188618757,-14.235000000000008,-51.925300000000014,2020-03-13,2020-03-22
46,Indonesia,0.12529182146951787,-0.7893000000000002,113.9213,2020-03-15,2020-03-22
47,Poland,0.17332246003634083,51.9194,19.145100000000006,2020-03-14,2020-03-22
48,Chile,0.2546369164712638,-35.6751,-71.54300000000003,2020-03-16,2020-03-22
49,Saudi Arabia,0.24387422813949713,23.945666666666664,45.03771428571429,2020-03-14,2020-03-22
50,Pakistan,0.07006942624953381,30.375300000000003,69.3451,2020-03-16,2020-03-22
51,Estonia,0.07006942624953381,58.59529999999997,25.0136,2020-03-14,2020-03-22
