,Country/Region,Growth Rate,Latitude,Longitude,Start day,End day,Region Averaged Specific Humidity
0,Mainland China,0.19253976414051777,33.45336878980891,111.51273375796183,2020-01-22,2020-02-05,
1,Hong Kong,0.11158800774499482,22.300000000000004,114.20000000000002,2020-03-02,2020-03-09,0.012425181
2,US,0.248851993063108,38.38734505059027,-90.53144941315351,2020-03-02,2020-03-16,0.003735293
3,Japan,0.045556014171384523,36.08777142857142,138.1083857142857,2020-02-21,2020-03-06,0.0040199594
4,Thailand,0.22471313248705008,15.49714285714286,100.9957142857143,2020-03-15,2020-03-21,0.016476369
5,South Korea,0.13417084916427208,36.0,128.0,2020-02-20,2020-03-05,0.003951526
6,Singapore,0.11290455984108291,1.3127857142857144,103.8275142857143,2020-02-29,2020-03-14,0.018808749
7,France,0.228531925913284,13.410179012345676,-22.12272592592592,2020-02-29,2020-03-14,0.0066088056
8,Others,0.228531925913284,35.44369999999999,139.63799999999998,2020-02-10,2020-02-24,
9,Malaysia,0.12811175368156824,3.2330714285714275,107.98962857142858,2020-03-09,2020-03-21,0.018161384
10,Italy,0.1913202083036326,42.516528571428566,12.243171428571426,2020-02-23,2020-03-08,0.0051417476
11,Iran,0.12668994496852196,32.192555000000006,53.3096,2020-02-26,2020-03-12,0.0040073763
12,Germany,0.29991080755971783,51.07101428571429,9.62207142857143,2020-03-01,2020-03-15,0.0046595074
13,Canada,0.22398768250099219,49.5357061643836,-92.19152739726032,2020-03-11,2020-03-21,0.00093104504
14,Australia,0.21013051046678513,-23.852688439306373,140.65231213872843,2020-03-10,2020-03-21,0.009386798
15,India,0.42779107606340516,20.825871428571432,78.41267142857143,2020-03-14,2020-03-21,0.010741042
16,Philippines,0.16279122699561177,12.931257142857145,121.87085714285712,2020-03-14,2020-03-21,0.016525375
17,Spain,0.30599121999026746,40.19872857142858,-3.892514285714286,2020-03-02,2020-03-16,0.0058479607
18,Belgium,0.18511460596074839,50.692128571428576,4.201385714285713,2020-03-06,2020-03-20,0.005493848
19,Egypt,0.013520988429106866,26.35168571428572,30.343928571428574,2020-03-14,2020-03-21,0.0059222053
20,Finland,0.10048831765946555,63.11032857142856,25.892085714285713,2020-03-13,2020-03-21,0.0024465078
21,Israel,0.22729086886863029,31.01975714285715,34.93639999999999,2020-03-11,2020-03-21,0.007959322
22,Lebanon,0.17820450984593653,33.854699999999994,35.8623,2020-03-15,2020-03-21,0.0065246304
23,Sweden,0.020078344128048934,61.769228571428584,17.13292857142857,2020-03-06,2020-03-20,0.0031207674
24,Bahrain,0.0025174260666958512,26.044299999999993,50.55329999999998,2020-03-10,2020-03-21,0.012177831
25,Kuwait,0.07562218386038681,29.419299999999993,47.63505714285715,2020-03-14,2020-03-21,0.008726479
26,Austria,0.1666829514314849,47.51620000000001,14.550099999999992,2020-03-08,2020-03-21,0.0041100467
27,Iraq,0.07253982137175735,33.09565714285715,43.86255714285715,2020-03-13,2020-03-21,0.0077296323
28,Switzerland,0.17389727060560312,46.81820000000002,8.227499999999996,2020-03-05,2020-03-19,0.0040642177
29,China,0.19536572616414843,32.74768236914597,111.677849586777,2020-03-11,2020-03-21,0.0032205093
30,"Korea, South",0.030422497959539715,35.924563636363644,127.80928181818184,2020-03-11,2020-03-21,
31,Cruise Ship,0.18143925560279855,35.44869090909091,139.66000909090909,2020-03-11,2020-03-21,
32,Norway,0.02392209057404013,60.471999999999994,8.4689,2020-03-06,2020-03-20,0.0021939478
33,Netherlands,0.180207278063422,37.99898787878787,-21.48304545454546,2020-03-06,2020-03-20,0.005427319
34,United Kingdom,0.2435261974946903,40.37601216666666,-22.13164272916667,2020-03-11,2020-03-21,0.0048385104
35,Denmark,0.2435261974946903,59.35660571428568,-0.12299714285714275,2020-03-10,2020-03-21,0.004654125
36,Qatar,0.2435261974946903,25.354800000000008,51.18390000000001,2020-03-11,2020-03-21,0.0098427115
37,Greece,0.2435261974946903,39.074200000000005,21.824299999999997,2020-03-13,2020-03-21,0.005127987
38,Czechia,0.20916008605642428,49.8175,15.473000000000003,2020-03-13,2020-03-21,0.004089466
39,Iceland,0.24501944963434757,64.96309999999997,-19.020800000000005,2020-03-12,2020-03-21,0.0024318849
40,San Marino,0.19551376157600464,43.94240000000001,12.457799999999999,2020-03-15,2020-03-21,0.005570611
41,Portugal,0.2715086462346052,39.3999,-8.224500000000003,2020-03-13,2020-03-21,0.006684716
42,Slovenia,0.2715086462346052,46.15120000000001,14.995499999999995,2020-03-13,2020-03-21,0.0044116685
43,Romania,0.10565113860130491,45.970247619047626,24.982609523809522,2020-03-14,2020-03-21,0.003295668
44,Ireland,0.24383492657276185,53.15546190476188,-7.706761904761906,2020-03-14,2020-03-21,0.0048047677
45,Brazil,0.3232647193967786,-14.235000000000008,-51.92530000000001,2020-03-13,2020-03-21,0.017052995
46,Indonesia,0.18440064293269887,-0.7893000000000003,113.9213,2020-03-15,2020-03-21,0.018221842
47,Poland,0.19766932225716716,51.9194,19.145100000000006,2020-03-14,2020-03-21,0.0037498756
48,Saudi Arabia,0.24979750010136012,23.948654999999995,45.03564,2020-03-14,2020-03-21,0.0071949544
49,Estonia,0.24979750010136012,58.59529999999997,25.013600000000004,2020-03-14,2020-03-21,0.0033921078
